Homicide Type	Count	Month	Year	UCR Homicide
General Homicide	16	January	2014	Unknown
General Homicide	17	February	2014	Unknown
General Homicide	12	March	2014	Unknown
General Homicide	15	April	2014	Unknown
General Homicide	14	May	2014	Unknown
General Homicide	16	June	2014	Unknown
General Homicide	23	July	2014	Unknown
General Homicide	19	August	2014	Unknown
General Homicide	19	September	2014	Unknown
General Homicide	20	October	2014	Unknown
General Homicide	26	November	2014	Unknown
General Homicide	33	December	2014	Unknown
General Homicide	23	January	2015	Unknown
General Homicide	21	February	2015	Unknown
General Homicide	19	March	2015	Unknown
General Homicide	20	April	2015	Unknown
General Homicide	29	May	2015	Unknown
General Homicide	20	June	2015	Unknown
General Homicide	24	July	2015	Unknown
General Homicide	22	August	2015	Unknown
General Homicide	19	September	2015	Unknown
General Homicide	27	October	2015	Unknown
General Homicide	32	November	2015	Unknown
General Homicide	31	December	2015	Unknown
General Homicide	19	January	2016	Unknown
General Homicide	23	February	2016	Unknown
General Homicide	25	March	2016	Unknown
General Homicide	17	April	2016	Unknown
General Homicide	34	May	2016	Unknown
General Homicide	30	June	2016	Unknown
General Homicide	29	July	2016	Unknown
General Homicide	21	August	2016	Unknown
General Homicide	30	September	2016	Unknown
General Homicide	20	October	2016	Unknown
General Homicide	15	November	2016	Unknown
General Homicide	21	December	2016	Unknown
General Homicide	21	January	2017	Unknown
General Homicide	29	February	2017	Unknown
General Homicide	19	March	2017	Unknown
General Homicide	14	April	2017	Unknown
General Homicide	23	May	2017	Unknown
