City,State,Year,Month,Crime,Count,UCR Type
San Antonio,TX,2014,1,Homicide,7,Yes
San Antonio,TX,2014,2,Homicide,8,Yes
San Antonio,TX,2014,3,Homicide,5,Yes
San Antonio,TX,2014,4,Homicide,5,Yes
San Antonio,TX,2014,5,Homicide,9,Yes
San Antonio,TX,2014,6,Homicide,9,Yes
San Antonio,TX,2014,7,Homicide,9,Yes
San Antonio,TX,2014,8,Homicide,12,Yes
San Antonio,TX,2014,9,Homicide,4,Yes
San Antonio,TX,2014,10,Homicide,9,Yes
San Antonio,TX,2014,11,Homicide,13,Yes
San Antonio,TX,2014,12,Homicide,13,Yes
San Antonio,TX,2015,1,Homicide,10,Yes
San Antonio,TX,2015,2,Homicide,7,Yes
San Antonio,TX,2015,3,Homicide,6,Yes
San Antonio,TX,2015,4,Homicide,6,Yes
San Antonio,TX,2015,5,Homicide,10,Yes
San Antonio,TX,2015,6,Homicide,12,Yes
San Antonio,TX,2015,7,Homicide,6,Yes
San Antonio,TX,2015,8,Homicide,6,Yes
San Antonio,TX,2015,9,Homicide,15,Yes
San Antonio,TX,2015,10,Homicide,7,Yes
San Antonio,TX,2015,11,Homicide,4,Yes
San Antonio,TX,2015,12,Homicide,5,Yes
San Antonio,TX,2016,1,Homicide,8,Yes
San Antonio,TX,2016,2,Homicide,12,Yes
San Antonio,TX,2016,3,Homicide,13,Yes
San Antonio,TX,2016,4,Homicide,11,Yes
San Antonio,TX,2016,5,Homicide,9,Yes
San Antonio,TX,2016,6,Homicide,16,Yes
San Antonio,TX,2016,7,Homicide,8,Yes
San Antonio,TX,2016,8,Homicide,20,Yes
San Antonio,TX,2016,9,Homicide,16,Yes
San Antonio,TX,2016,10,Homicide,13,Yes
San Antonio,TX,2016,11,Homicide,14,Yes
San Antonio,TX,2016,12,Homicide,9,Yes
San Antonio,TX,2017,1,Homicide,15,Yes
San Antonio,TX,2017,2,Homicide,6,Yes
San Antonio,TX,2017,3,Homicide,14,Yes
San Antonio,TX,2017,4,Homicide,13,Yes
San Antonio,TX,2017,5,Homicide,3,Yes
San Antonio,TX,2017,6,Homicide,10,Yes
San Antonio,TX,2017,7,Homicide,,Yes
