"year","month","state_fips","state_abr","state_name","place_fips","place_name","within_county","population_est","homicide_count"
2015,1,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",408382,0
2015,2,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",408679,0
2015,3,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",408947,3
2015,4,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",409244,4
2015,5,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",409532,7
2015,6,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",409829,7
2015,7,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",410116,7
2015,8,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",410415,1
2015,9,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",410715,4
2015,10,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",411005,6
2015,11,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",411304,8
2015,12,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",411594,2
2016,1,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",411893,3
2016,2,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",412193,0
2016,3,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",412473,1
2016,4,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",412772,2
2016,5,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",413062,4
2016,6,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",413361,3
2016,7,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",413651,5
2016,8,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",413950,6
2016,9,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",414250,3
2016,10,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",414540,6
2016,11,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",414839,3
2016,12,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",415129,1
2017,1,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",415428,3
2017,2,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",415728,0
2017,3,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",415998,1
2017,4,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",416297,1
2017,5,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",416587,3
2017,6,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",416887,6
2017,7,27,"MN","Minnesota",43000,"Minneapolis city","Hennepin County",417176,3
